commune,emi.pol2012.nox[0],emi.pol2012.nox[1],emi.pol2012.nox[2],emi.pol2012.nox[3],emi.pol2012.nox[4],emi.pol2012.nox[5],emi.pol2010.nox[0],emi.pol2010.nox[1],emi.pol2010.nox[2],emi.pol2010.nox[3],emi.pol2010.nox[4],emi.pol2010.nox[5]
11001,7157.292061628999,6755.292061629,7157.292061629,13510.584123258,3791.6073197215,6755.292061629,7157.292061628999,7584.292061629,14314.584123258,7584.292061629,27017.3296277067,7584.292061629
11002,1555.115402347,2053.115402347,1555.115402347,1555.115402347,3110.230804694,2053.115402347,1555.115402347,1466.115402347,1555.115402347,3110.230804694,1555.115402347,2932.230804694
11003,4481.329529946672,4315.3295299467,8962.6590598934,8962.6590598934,8962.6590598934,4315.3295299467,4481.329529946672,4563.3295299467,4481.3295299467,4481.3295299467,4481.3295299467,4563.3295299467
11004,4672.275480306,4782.275480306,9344.550960612,18689.101921224,4672.275480306,9564.550960612,4672.275480306,4325.275480306,9344.550960612,9344.550960612,4672.275480306,8650.550960612
11005,31899.73513363221,31748.7351336322,31899.7351336322,63799.4702672644,31899.7351336322,31748.7351336322,31899.73513363221,31944.7351336322,63799.4702672644,63799.4702672644,63799.4702672644,63889.4702672644
11006,2183.2857083839995,1918.285708384,4366.571416768,8733.142833536,2183.285708384,1918.285708384,2183.2857083839995,2295.285708384,2183.285708384,4366.571416768,1091.642854192,2295.285708384
11007,6647.877942304596,6577.8779423046,6647.8779423046,13295.7558846092,3323.9389711523,13155.7558846092,6647.877942304596,6632.8779423046,6647.8779423046,6647.8779423046,13295.7558846092,6632.8779423046
11008,21830.71916117402,22188.719161174,43661.438322348,87322.8766446961,10915.359580587,44377.438322348,21830.71916117402,21996.719161174,43661.438322348,43661.438322348,43661.438322348,21996.719161174
11009,27840.484066701738,28207.4840667017,27840.4840667017,55680.9681334035,13920.2420333509,28207.4840667017,27840.484066701738,27391.4840667017,55680.9681334035,111361.936266807,13920.2420333509,27391.4840667017
11010,898.5191324010001,910.519132401,898.519132401,1797.038264802,449.2595662005,910.519132401,898.5191324010001,535.519132401,1797.038264802,3594.076529604,898.519132401,1071.038264802
