commune,emi.pol2012.nox,emi.pol2010.nox,emi.pol2012.pm10,emi.pol2010.pm10,emi.pol2012.cov,emi.pol2010.cov
11001,7157.292061628999,6846.292061629,7157.292061629,13692.584123258,7482.4195629289,6846.292061629
11002,1555.115402347,1948.115402347,1555.115402347,3110.230804694,1555.115402347,1948.115402347
11003,4481.329529946672,4713.3295299467,4481.3295299467,8962.6590598934,2240.6647649733,4713.3295299467
11004,4672.275480306,4473.275480306,9344.550960612,18689.101921224,4672.275480306,8946.550960612
11005,31899.73513363221,31563.7351336322,31899.7351336322,63799.4702672644,15949.8675668161,31563.7351336322
11006,2183.2857083839995,1835.285708384,4366.571416768,4366.571416768,2183.285708384,1835.285708384
11007,6647.877942304596,6261.8779423046,13295.7558846092,26591.5117692184,3323.9389711523,6261.8779423046
11008,21830.71916117402,21782.719161174,21830.719161174,43661.438322348,21830.719161174,21782.719161174
11009,27840.484066701738,27834.4840667017,55680.9681334035,55680.9681334035,27840.4840667017,55668.9681334035
11010,898.5191324010001,1275.519132401,1797.038264802,3594.076529604,449.2595662005,1275.519132401
11011,2408.002705904601,1997.0027059046,2408.0027059046,4816.0054118092,2408.0027059046,3994.0054118092
11012,17897.753207054677,17441.7532070547,35795.5064141094,35795.5064141094,17897.7532070547,34883.5064141094
11013,1110.0148129460001,1477.014812946,2220.029625892,2220.029625892,2220.029625892,1477.014812946
11014,118925.73544804359,119290.735448044,118925.735448044,118925.735448044,118925.735448044,119290.735448044
11015,5685.209188812739,5487.2091888127,11370.4183776255,22740.836755251,2842.6045944064,10974.4183776255
11016,4683.907347646999,5183.907347647,9367.814695294,9367.814695294,9367.814695294,10367.814695294
11017,1076.6097848697166,1408.6097848697,2153.2195697394,4306.4391394789,538.3048924349,2817.2195697394
11018,107965.71033633607,107559.710336336,215931.420672672,431862.841345344,53982.855168168,107559.710336336
11019,1791.0451452094621,1645.0451452095,1791.0451452095,3582.0902904189,1791.0451452095,3290.0902904189
11020,693.6421838551313,667.6421838551,693.6421838551,693.6421838551,1387.2843677103,1335.2843677103
11021,5884.483518316121,5676.4835183161,5884.4835183161,5884.4835183161,5884.4835183161,11352.9670366322
11022,22345.51856569844,22681.5185656984,22345.5185656984,44691.0371313969,22345.5185656984,45363.0371313969
11023,5785.220495140001,5997.22049514,11570.44099028,23140.88198056,5785.22049514,5997.22049514
11024,170785.27118708502,170428.271187085,170785.271187085,170785.271187085,170785.271187085,170428.271187085
11025,2145.635148714,2338.635148714,4291.270297428,8582.540594856,2145.635148714,2338.635148714
11026,1512.049268776,1796.049268776,3024.098537552,6048.197075104,1512.049268776,1796.049268776
11027,69552.39641357856,69285.3964135786,139104.792827157,139104.792827157,69552.3964135786,138570.792827157
11028,4244.018634352239,4055.0186343522,8488.0372687045,16976.074537409,2122.0093171761,8110.0372687045
11029,2801.3336020669994,2393.333602067,5602.667204134,11205.334408268,2801.333602067,2393.333602067
11030,3031.9032210632163,3198.9032210632,3031.9032210632,3031.9032210632,6063.8064421264,3198.9032210632
11031,243.68577586799998,-29.314224132,243.685775868,243.685775868,243.685775868,-58.628448264
11032,2068.575795663,1850.575795663,4137.151591326,8274.303182652,2068.575795663,1850.575795663
11033,11124.234595188991,11184.234595189,11124.234595189,11124.234595189,22248.469190378,11184.234595189
11034,2089.8517367229997,2549.851736723,4179.703473446,8359.406946892,1044.9258683615,2549.851736723
11035,4497.770525876217,4581.7705258762,4497.7705258762,8995.5410517524,2248.8852629381,4581.7705258762
11036,3240.506916689093,3464.5069166891,6481.0138333782,6481.0138333782,3240.5069166891,3464.5069166891
11037,2865.3809070941566,2477.3809070942,5730.7618141883,5730.7618141883,5730.7618141883,2477.3809070942
11038,2984.318689554166,3182.3186895542,2984.3186895542,2984.3186895542,5968.6373791083,6364.6373791083
11039,3717.7800339197875,3393.7800339198,7435.5600678396,14871.1201356792,3717.7800339198,6787.5600678396
11040,132207.65581351708,132313.655813517,132207.655813517,132207.655813517,264415.311627034,264627.311627034
11041,12872.394464895066,12946.3944648951,25744.7889297901,25744.7889297901,25744.7889297901,25892.7889297901
11042,6014.636417959585,5779.6364179596,12029.2728359192,12029.2728359192,12029.2728359192,5779.6364179596
11043,1349.7237946600003,1500.72379466,2699.44758932,2699.44758932,2699.44758932,1500.72379466
11044,2016.5608847969997,1957.560884797,4033.121769594,8066.243539188,1008.2804423985,3915.121769594
11045,1524.6195652590002,1154.619565259,1524.619565259,3049.239130518,762.3097826295,2309.239130518
11046,1906.860913011,2359.860913011,3813.721826022,3813.721826022,1906.860913011,2359.860913011
11047,580.7181335,520.7181335,1161.436267,2322.872534,290.35906675,1041.436267
11048,34702.2909814916,35165.2909814916,69404.5819629832,69404.5819629832,34702.2909814916,35165.2909814916
11049,70021.58063289073,69567.5806328907,70021.5806328907,140043.161265781,35010.7903164454,139135.161265781
11050,3427.4517248419897,3722.451724842,6854.903449684,13709.806899368,3427.451724842,3722.451724842
11051,2223.509314519603,2159.5093145196,2223.5093145196,4447.0186290392,1111.7546572598,2159.5093145196
11052,2864.617703386564,2702.6177033866,5729.2354067731,11458.4708135463,1432.3088516933,5405.2354067731
11053,2173.1942829600002,2303.19428296,4346.38856592,4346.38856592,4346.38856592,4606.38856592
11054,3187.763608492,2834.763608492,6375.527216984,6375.527216984,6375.527216984,2834.763608492
11055,5827.47675084147,5808.4767508415,11654.9535016829,11654.9535016829,11654.9535016829,11616.9535016829
11056,1030.727219139,853.727219139,1030.727219139,1030.727219139,1030.727219139,1707.454438278
